name,brand,description,price,category,photos
Sony Bravia KD-55X85L 55 Inch 4K UHD Google Assistant with Alexa Compatibility Smart TV,Sony,Latest Offers,"129,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/kd-55x85l-02-500x500.webp
LG 65QNED86 65 Inch QNED MiniLED 4K UHD Smart TV,LG,Latest Offers,"170,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/65qned86/65qned86-01-500x500.webp
Sony Bravia 3 K-50S30 50 Inch 4K UHD Google TV,Sony,Latest Offers,"129,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
Samsung 75DU7700 75 Inch Crystal 4K UHD Smart TV,Samsung,Latest Offers,"144,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65du7700/65du7700-01-500x500.webp
Samsung 55Q70B 55 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"108,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q70b/65q70b-05-500x500.webp
"Samsung 55QN90B 55"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"165,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn90b/55qn90b-01-500x500.webp
"Smart SEL-75G25F 75"" 4K Voice Control Android Google TV",Smart,Latest Offers,"136,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-75g25f/sel-75g25f-500x500.webp
"Samsung 65QN85B 65"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"176,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn85b/55qn85b-01-500x500.webp
LG evo C3 55 Inch OLED 4K Smart TV,LG,Latest Offers,"182,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/evo-c3/evo-c3-01-500x500.webp
Sony Bravia KD-75X80J 75 Inch 4K Ultra HD Smart LED Android TV,Sony,Latest Offers,"187,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/x80j/x80j-01-500x500.jpg
"Samsung 65Q60D 65"" QLED 4K UHD HDR Smart TV",Samsung,Latest Offers,"148,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q60d/55q60d-001-500x500.webp
"Daewoo 75DM55UQB 75"" 4K QLED Android Google Smart TV",Daewoo,Latest Offers,"150,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/daewoo/75dm55uqb/75dm55uqb-01-500x500.webp
Sony Bravia KD-75X77L 75 Inch 4K Ultra HD Smart LED Google TV (Unofficial),Sony,Latest Offers,"190,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x77l/kd-75x77l-01-500x500.webp
Haier H75P7UX 75 Inch Voice Control HQLED 4K Smart Google TV,Haier,Latest Offers,"142,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/haier/h43p7ux/h43p7ux-01-500x500.webp
Samsung 55S90C 55 Inch OLED 4K Smart TV,Samsung,Latest Offers,"210,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55s90c/55s90c-01-500x500.webp
